,State,Action,Reward,Error,Time,Value,Alpha,Episilon,Max V,Value,Policy
89,1,1,1.0,0.040687465794655035,4.724238157272339,[0.9686101  1.5055619  0.42962287 0.036      1.18804   ],0.1,,1.5055618967253257,[0.9686101  1.5055619  0.42962287 0.036      1.18804   ],[0 1 1 0 0]
90,0,0,0.0,0.03863956083003254,4.724302053451538,[1.00724966 1.5055619  0.42962287 0.036      1.18804   ],0.1,,1.5055618967253257,[1.00724966 1.5055619  0.42962287 0.036      1.18804   ],[0 1 1 0 0]
91,1,1,1.0,0.04009627968989249,4.7243640422821045,[1.00724966 1.54565818 0.42962287 0.036      1.18804   ],0.1,,1.5456581764152182,[1.00724966 1.54565818 0.42962287 0.036      1.18804   ],[0 1 1 0 0]
92,0,0,0.0,0.038384269919119585,4.72443413734436,[1.04563393 1.54565818 0.42962287 0.036      1.18804   ],0.1,,1.5456581764152182,[1.04563393 1.54565818 0.42962287 0.036      1.18804   ],[0 1 1 0 0]
93,1,0,0.0,0.03279520510212834,4.724523067474365,[1.04563393 1.54565818 0.42962287 0.036      1.18804   ],0.1,,1.5456581764152182,[1.04563393 1.54565818 0.42962287 0.036      1.18804   ],[0 1 1 0 0]
94,2,0,0.0,0.0032400000000000007,4.724606990814209,[1.04563393 1.54565818 0.42962287 0.036      1.18804   ],0.1,,1.5456581764152182,[1.04563393 1.54565818 0.42962287 0.036      1.18804   ],[0 1 1 0 0]
95,3,0,0.0,0.10332360000000002,4.724691867828369,[1.04563393 1.54565818 0.42962287 0.1393236  1.18804   ],0.1,,1.5456581764152182,[1.04563393 1.54565818 0.42962287 0.1393236  1.18804   ],[0 1 1 0 0]
96,4,0,4.0,0.3881196,4.724765062332153,[1.04563393 1.54565818 0.42962287 0.1393236  1.5761596 ],0.1,,1.5761596,[1.04563393 1.54565818 0.42962287 0.1393236  1.5761596 ],[0 1 1 0 0]
97,4,0,4.0,0.38423840400000003,4.724837064743042,[1.04563393 1.54565818 0.42962287 0.1393236  1.960398  ],0.1,,1.960398004,[1.04563393 1.54565818 0.42962287 0.1393236  1.960398  ],[0 1 1 0 0]
98,4,0,4.0,0.38039601996000005,4.724905014038086,[1.04563393 1.54565818 0.42962287 0.1393236  2.34079402],0.1,,2.34079402396,[1.04563393 1.54565818 0.42962287 0.1393236  2.34079402],[0 1 1 0 0]
99,4,0,4.0,0.37659205976040006,4.725089073181152,[1.04563393 1.54565818 0.42962287 0.1393236  2.71738608],0.1,,2.7173860837204002,[1.04563393 1.54565818 0.42962287 0.1393236  2.71738608],[0 1 1 0 0]
100,4,0,4.0,0.37282613916279606,4.725162029266357,[1.04563393 1.54565818 0.42962287 0.1393236  3.09021222],0.1,,3.0902122228831965,[1.04563393 1.54565818 0.42962287 0.1393236  3.09021222],[0 1 1 0 0]
101,4,0,4.0,0.36909787777116804,4.725231170654297,[1.04563393 1.54565818 0.42962287 0.1393236  3.4593101 ],0.1,,3.4593101006543647,[1.04563393 1.54565818 0.42962287 0.1393236  3.4593101 ],[0 1 1 0 0]
102,4,0,4.0,0.3654068989934564,4.72534704208374,[1.04563393 1.54565818 0.42962287 0.1393236  3.824717  ],0.1,,3.824716999647821,[1.04563393 1.54565818 0.42962287 0.1393236  3.824717  ],[0 1 1 0 0]
103,4,0,4.0,0.3617528300035218,4.725426197052002,[1.04563393 1.54565818 0.42962287 0.1393236  4.18646983],0.1,,4.186469829651343,[1.04563393 1.54565818 0.42962287 0.1393236  4.18646983],[0 1 1 0 0]
104,4,1,2.0,0.25587959755514583,4.725511074066162,[1.04563393 1.54565818 0.42962287 0.1393236  4.18646983],0.1,,4.186469829651343,[1.04563393 1.54565818 0.42962287 0.1393236  4.18646983],[0 1 1 0 0]
105,0,0,0.0,0.034545842927207616,4.725576877593994,[1.08017977 1.54565818 0.42962287 0.1393236  4.18646983],0.1,,4.186469829651343,[1.08017977 1.54565818 0.42962287 0.1393236  4.18646983],[0 1 1 0 0]
106,1,1,1.0,0.042650361877072676,4.72564697265625,[1.08017977 1.58830854 0.42962287 0.1393236  4.18646983],0.1,,4.186469829651343,[1.08017977 1.58830854 0.42962287 0.1393236  4.18646983],[0 1 1 0 0]
107,0,0,0.0,0.03492979120342339,4.725712060928345,[1.11510956 1.58830854 0.42962287 0.1393236  4.18646983],0.1,,4.186469829651343,[1.11510956 1.58830854 0.42962287 0.1393236  4.18646983],[0 1 1 0 0]
108,1,1,1.0,0.04152900689767356,4.725788116455078,[1.11510956 1.62983755 0.42962287 0.1393236  4.18646983],0.1,,4.186469829651343,[1.11510956 1.62983755 0.42962287 0.1393236  4.18646983],[0 1 1 0 0]
109,0,1,0.0,0.06646273982697282,4.725867986679077,[1.11510956 1.62983755 0.42962287 0.1393236  4.18646983],0.1,,4.186469829651343,[1.11510956 1.62983755 0.42962287 0.1393236  4.18646983],[0 1 1 0 0]
110,0,0,0.0,0.011151095636322507,4.725933074951172,[1.10395847 1.62983755 0.42962287 0.1393236  4.18646983],0.1,,4.186469829651343,[1.10395847 1.62983755 0.42962287 0.1393236  4.18646983],[0 1 1 0 0]
111,0,0,0.0,0.011039584679959281,4.725996971130371,[1.09291888 1.62983755 0.42962287 0.1393236  4.18646983],0.1,,4.186469829651343,[1.09291888 1.62983755 0.42962287 0.1393236  4.18646983],[0 1 1 0 0]
112,0,0,0.0,0.03739349073549985,4.726083040237427,[1.13031237 1.62983755 0.42962287 0.1393236  4.18646983],0.1,,4.186469829651343,[1.13031237 1.62983755 0.42962287 0.1393236  4.18646983],[0 1 1 0 0]
113,1,1,1.0,0.038744359145635815,4.726155042648315,[1.13031237 1.6685819  0.42962287 0.1393236  4.18646983],0.1,,4.186469829651343,[1.13031237 1.6685819  0.42962287 0.1393236  4.18646983],[0 1 1 0 0]
114,0,0,0.0,0.0371411339850571,4.726238012313843,[1.16745351 1.6685819  0.42962287 0.1393236  4.18646983],0.1,,4.186469829651343,[1.16745351 1.6685819  0.42962287 0.1393236  4.18646983],[0 1 1 0 0]
115,1,0,0.0,0.029515684591915503,4.726322174072266,[1.16745351 1.6685819  0.42962287 0.1393236  4.18646983],0.1,,4.186469829651343,[1.16745351 1.6685819  0.42962287 0.1393236  4.18646983],[0 1 1 0 0]
116,2,1,1.0,0.16210852882058593,4.726387023925781,[1.16745351 1.6685819  0.5917314  0.1393236  4.18646983],0.1,,4.186469829651343,[1.16745351 1.6685819  0.5917314  0.1393236  4.18646983],[0 1 1 0 0]
117,0,0,0.0,0.033427020586551386,4.726469039916992,[1.20088053 1.6685819  0.5917314  0.1393236  4.18646983],0.1,,4.186469829651343,[1.20088053 1.6685819  0.5917314  0.1393236  4.18646983],[0 1 1 0 0]
118,1,1,1.0,0.041221057142517004,4.7265379428863525,[1.20088053 1.70980296 0.5917314  0.1393236  4.18646983],0.1,,4.186469829651343,[1.20088053 1.70980296 0.5917314  0.1393236  4.18646983],[0 1 1 0 0]
119,0,0,0.0,0.03379421367072275,4.726602077484131,[1.23467474 1.70980296 0.5917314  0.1393236  4.18646983],0.1,,4.186469829651343,[1.23467474 1.70980296 0.5917314  0.1393236  4.18646983],[0 1 1 0 0]
120,1,0,0.0,0.04115388372657669,4.726691007614136,[1.23467474 1.70980296 0.5917314  0.1393236  4.18646983],0.1,,4.186469829651343,[1.23467474 1.70980296 0.5917314  0.1393236  4.18646983],[0 1 1 0 0]
121,2,1,1.0,0.15194758702168204,4.7267560958862305,[1.23467474 1.70980296 0.74367898 0.1393236  4.18646983],0.1,,4.186469829651343,[1.23467474 1.70980296 0.74367898 0.1393236  4.18646983],[0 1 1 0 0]
122,0,0,0.0,0.030414792303650476,4.72681999206543,[1.26508953 1.70980296 0.74367898 0.1393236  4.18646983],0.1,,4.186469829651343,[1.26508953 1.70980296 0.74367898 0.1393236  4.18646983],[0 1 1 0 0]
123,1,1,1.0,0.04287776196595892,4.726881980895996,[1.26508953 1.75268072 0.74367898 0.1393236  4.18646983],0.1,,4.186469829651343,[1.26508953 1.75268072 0.74367898 0.1393236  4.18646983],[0 1 1 0 0]
124,0,0,0.0,0.031232311650221736,4.726944923400879,[1.29632185 1.75268072 0.74367898 0.1393236  4.18646983],0.1,,4.186469829651343,[1.29632185 1.75268072 0.74367898 0.1393236  4.18646983],[0 1 1 0 0]
